company_id,from_pattern,to_pattern,year
LT,Distress Signal,Growth Funded by Debt,Mar 2019
LT,Growth Funded by Debt,Mixed,Mar 2020
LT,Mixed,Reinvestor,Mar 2021
LT,Reinvestor,Liquidating Assets,Mar 2024
LTIM,Reinvestor,Liquidating Assets,Mar 2014
LTIM,Liquidating Assets,Reinvestor,Mar 2015
M&M,Growth Funded by Debt,Mixed,Mar 2015
M&M,Mixed,Growth Funded by Debt,Mar 2019
M&M,Growth Funded by Debt,Mixed,Mar 2021
M&M,Mixed,Reinvestor,Mar 2022
M&M,Reinvestor,Growth Funded by Debt,Mar 2023
MOTHERSON,Reinvestor,Mixed,Mar 2015
MOTHERSON,Mixed,Reinvestor,Mar 2016
MOTHERSON,Reinvestor,Mixed,Mar 2017
MOTHERSON,Mixed,Reinvestor,Mar 2018
MOTHERSON,Reinvestor,Mixed,Mar 2024
NAUKRI,Reinvestor,Mixed,Mar 2014
NAUKRI,Mixed,Reinvestor,Mar 2016
NAUKRI,Reinvestor,Liquidating Assets,Mar 2020
NAUKRI,Liquidating Assets,Mixed,Mar 2021
NESTLEIND,Reinvestor,Liquidating Assets,Dec 2019
NESTLEIND,Liquidating Assets,Reinvestor,Dec 2020
NHPC,Reinvestor,Mixed,Mar 2020
NHPC,Mixed,Reinvestor,Mar 2021
NTPC,Mixed,Reinvestor,Mar 2014
NTPC,Reinvestor,Mixed,Mar 2017
NTPC,Mixed,Reinvestor,Mar 2021
ONGC,Reinvestor,Mixed,Mar 2014
ONGC,Mixed,Reinvestor,Mar 2015
ONGC,Reinvestor,Mixed,Mar 2018
ONGC,Mixed,Reinvestor,Mar 2019
PFC,Distress Signal,Growth Funded by Debt,Mar 2015
PFC,Growth Funded by Debt,Mixed,Mar 2017
PFC,Mixed,Distress Signal,Mar 2018
PFC,Distress Signal,Growth Funded by Debt,Mar 2019
PFC,Growth Funded by Debt,Distress Signal,Mar 2021
PFC,Distress Signal,Reinvestor,Mar 2022
PFC,Reinvestor,Growth Funded by Debt,Mar 2023
PIDILITIND,Reinvestor,Mixed,Mar 2017
PIDILITIND,Mixed,Liquidating Assets,Mar 2018
PIDILITIND,Liquidating Assets,Reinvestor,Mar 2019
PIDILITIND,Reinvestor,Liquidating Assets,Mar 2020
PIDILITIND,Liquidating Assets,Reinvestor,Mar 2021
PNB,Pre-Revenue,Mixed,Mar 2014
PNB,Mixed,Liquidating Assets,Mar 2017
PNB,Liquidating Assets,Distress Signal,Mar 2018
PNB,Distress Signal,Growth Funded by Debt,Mar 2019
PNB,Growth Funded by Debt,Mixed,Mar 2021
PNB,Mixed,Growth Funded by Debt,Mar 2024
POWERGRID,Mixed,Reinvestor,Mar 2019
POWERGRID,Reinvestor,Liquidating Assets,Mar 2022
POWERGRID,Liquidating Assets,Reinvestor,Mar 2023
RECLTD,Distress Signal,Growth Funded by Debt,Mar 2016
RECLTD,Growth Funded by Debt,Reinvestor,Mar 2017
RECLTD,Reinvestor,Distress Signal,Mar 2018
RECLTD,Distress Signal,Growth Funded by Debt,Mar 2022
RELIANCE,Mixed,Reinvestor,Mar 2016
RELIANCE,Reinvestor,Mixed,Mar 2017
RELIANCE,Mixed,Reinvestor,Mar 2018
RELIANCE,Reinvestor,Mixed,Mar 2019
RELIANCE,Mixed,Reinvestor,Mar 2020
RELIANCE,Reinvestor,Mixed,Mar 2021
RELIANCE,Mixed,Reinvestor,Mar 2024
SBILIFE,Reinvestor,Mixed,Mar 2021
SBILIFE,Mixed,Reinvestor,Mar 2022
SBIN,Reinvestor,Mixed,Mar 2014
SBIN,Mixed,Reinvestor,Mar 2015
SBIN,Reinvestor,Mixed,Mar 2016
SBIN,Mixed,Reinvestor,Mar 2017
SBIN,Reinvestor,Distress Signal,Mar 2018
SBIN,Distress Signal,Cash Accumulator,Mar 2019
SBIN,Cash Accumulator,Mixed,Mar 2020
